테이블,규칙ID,컬럼,영향행수,처리,비고
국내채권,R1,PD_NM,1396,앞뒤 공백 제거,고정폭 패딩 존재 컬럼
국내채권,R1,PD_ABRV_NM,41732,앞뒤 공백 제거,고정폭 패딩 존재 컬럼
국내채권,R2,PD_ABRV_NM,296,공백/빈 문자열 → NULL,
국내채권,R1,PD_ENG_NM,41737,앞뒤 공백 제거,고정폭 패딩 존재 컬럼
국내채권,R2,PD_ENG_NM,298,공백/빈 문자열 → NULL,
국내채권,R1,PD_ABRV_ENG_NM,41712,앞뒤 공백 제거,고정폭 패딩 존재 컬럼
국내채권,R2,PD_ABRV_ENG_NM,298,공백/빈 문자열 → NULL,
국내채권,R1,PD_PBCM,40243,앞뒤 공백 제거,고정폭 패딩 존재 컬럼
국내채권,R1,BD_KND,40942,앞뒤 공백 제거,고정폭 패딩 존재 컬럼
국내채권,R5,ISU_DT,336,날짜 파싱 불가(0 등) → NULL,
국내채권,R5,ISU_DT,42055,YYYYMMDD → ISO 날짜(YYYY-MM-DD),
국내채권,R5,MAT_DT,316,날짜 파싱 불가(0 등) → NULL,
국내채권,R5,MAT_DT,42075,YYYYMMDD → ISO 날짜(YYYY-MM-DD),
국내채권,R5,CRD_GRD_DT,2,날짜 파싱 불가(0 등) → NULL,
국내채권,R5,CRD_GRD_DT,27563,YYYYMMDD → ISO 날짜(YYYY-MM-DD),
국내채권,R5,PD_STD_INFO_UPDATE,31823,YYYYMMDD → ISO 날짜(YYYY-MM-DD),
국내채권,R6,CURR_CD,1,센티널 '000' → NULL,
국내채권,R7,drv_is_perpetual,4,영구채 플래그 생성,MAT_DT=99991231 센티널
국내채권,R8,drv_maturity_status,16180,만기 상태 'matured',만기 도래(AS_OF 이전)
국내채권,R8,drv_maturity_status,7,만기 상태 'matures_on_snapshot',AS_OF 당일 만기
국내채권,R8,drv_maturity_status,25888,만기 상태 'active',"잔존(AS_OF 이후) — 영구채 4건 포함 (dev-kyung 집계 25,884는 영구채를 불명으로 분류해 4건 차이)"
국내채권,R8,drv_maturity_status,319,만기 상태 'unknown',만기 불명(파싱 불가·결측 — MAT_DT=0 316 + 공백 3)
국내채권,R8,drv_is_matured,16180,만기 도래 플래그 생성(정정),"MAT_DT < 2026-07-11, 파싱 성공 행 한정"
국내채권,R8,drv_is_buyable,325,매수가능 플래그 생성,BUYABLE_QUANTITY > 0 (업무 규칙 확정 전 잠정)
국내채권,R9,drv_crd_grd_norm,2886,끝자리 '0'(플랫 표기) 제거,AA0→AA
국내채권,R9,drv_crd_grd_rank,24750,등급 서열 rank 부여,"AAA=1 ~ D=20, 'AA 이상'=rank<=3"
국내채권,R10,drv_evco_grd_*,24966,평가사 병기 등급 분해,개수·최저등급(스플릿 시 보수적 채택 관행)
국내채권,R11,drv_risk_grade,58,위험등급 0(미분류) → NULL,1=매우 높은 위험 ~ 6=매우 낮은 위험
